#   T     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         0.5           1    -0.97418    -0.97418           0
         0.5           2   -0.969212   -0.971696  0.00175645
         0.5           3   -0.970832   -0.971408  0.00119435
         0.5           4   -0.975112   -0.972334  0.00120229
         0.5           5   -0.973092   -0.972486  0.00097134
         0.5           6    -0.96858   -0.971835  0.00100414
         0.5           7    -0.97576   -0.972395  0.00100515
         0.5           8   -0.975896   -0.972833 0.000970086
         0.5           9   -0.978896   -0.973507  0.00107096
         0.5          10    -0.97844      -0.974  0.00107148
         0.5          11    -0.97442   -0.974038 0.000974756
         0.5          12   -0.972188   -0.973884 0.000905639
         0.5          13   -0.970544   -0.973627 0.000871656
         0.5          14     -0.9792   -0.974025 0.000895689
         0.5          15    -0.97886   -0.974347 0.000892089
         0.5          16   -0.980616   -0.974739 0.000918343
         0.5          17   -0.966632   -0.974262 0.000980361
         0.5          18   -0.975608   -0.974337 0.000928742
         0.5          19   -0.970856   -0.974154 0.000897751
         0.5          20   -0.975224   -0.974207 0.000854456
       0.525           1   -0.963112   -0.963112           0
       0.525           2   -0.967312   -0.965212  0.00148492
       0.525           3     -0.9652   -0.965208 0.000989955
       0.525           4   -0.965932   -0.965389 0.000758832
       0.525           5   -0.961392    -0.96459 0.000937956
       0.525           6   -0.964004   -0.964492 0.000786692
       0.525           7   -0.968648   -0.965086  0.00086996
       0.525           8     -0.9658   -0.965175 0.000765783
       0.525           9   -0.958204     -0.9644  0.00099831
       0.525          10   -0.967312   -0.964692 0.000939978
       0.525          11   -0.960272    -0.96429 0.000936466
       0.525          12   -0.970476   -0.964805 0.000990205
       0.525          13   -0.966764   -0.964956 0.000925427
       0.525          14   -0.966116   -0.965039 0.000863026
       0.525          15    -0.96118   -0.964782 0.000842962
       0.525          16   -0.973776   -0.965344 0.000959583
       0.525          17   -0.965428   -0.965349  0.00090315
       0.525          18     -0.9638   -0.965263 0.000857063
       0.525          19   -0.965348   -0.965267 0.000811966
       0.525          20   -0.963484   -0.965178 0.000776248
        0.55           1    -0.96156    -0.96156           0
        0.55           2     -0.9553    -0.95843  0.00221324
        0.55           3   -0.955828   -0.957563  0.00163664
        0.55           4   -0.956892   -0.957395  0.00123604
        0.55           5   -0.956212   -0.957158  0.00101122
        0.55           6   -0.951108    -0.95615    0.001248
        0.55           7   -0.954148   -0.955864    0.001102
        0.55           8   -0.954708   -0.955719 0.000973678
        0.55           9    -0.95756   -0.955924 0.000886707
        0.55          10   -0.958568   -0.956188 0.000836528
        0.55          11   -0.959124   -0.956455  0.00080192
        0.55          12   -0.961036   -0.956837 0.000820936
        0.55          13   -0.955588   -0.956741 0.000763388
        0.55          14   -0.957804   -0.956817 0.000712627
        0.55          15   -0.954992   -0.956695 0.000675423
        0.55          16     -0.9576   -0.956752 0.000635572
        0.55          17     -0.9557    -0.95669 0.000601189
        0.55          18   -0.958324   -0.956781 0.000574603
        0.55          19   -0.959144   -0.956905 0.000557662
        0.55          20   -0.948948   -0.956507 0.000656535
       0.575           1   -0.946984   -0.946984           0
       0.575           2   -0.946212   -0.946598 0.000272943
       0.575           3   -0.948748   -0.947315 0.000612795
       0.575           4    -0.94458   -0.946631 0.000749519
       0.575           5   -0.949724    -0.94725 0.000815887
       0.575           6   -0.947624   -0.947312 0.000682288
       0.575           7   -0.949996   -0.947695 0.000684125
       0.575           8    -0.95204   -0.948238 0.000785108
       0.575           9   -0.942484   -0.947599 0.000922183
       0.575          10   -0.950668   -0.947906 0.000879548
       0.575          11   -0.947304   -0.947851  0.00080129
       0.575          12   -0.946244   -0.947717 0.000745626
       0.575          13   -0.947192   -0.947677 0.000689364
       0.575          14   -0.946376   -0.947584 0.000646356
       0.575          15   -0.942956   -0.947275 0.000672886
       0.575          16   -0.944188   -0.947082 0.000657918
       0.575          17   -0.945848    -0.94701 0.000623212
       0.575          18   -0.945308   -0.946915 0.000595718
       0.575          19   -0.946664   -0.946902 0.000564511
       0.575          20   -0.952476   -0.947181 0.000601157
         0.6           1   -0.933516   -0.933516           0
         0.6           2   -0.936732   -0.935124  0.00113703
         0.6           3   -0.935884   -0.935377 0.000785734
         0.6           4   -0.937388    -0.93588 0.000732653
         0.6           5   -0.934368   -0.935578  0.00064552
         0.6           6   -0.931168   -0.934843 0.000859929
         0.6           7   -0.940008   -0.935581  0.00100499
         0.6           8   -0.932212   -0.935159 0.000963548
         0.6           9   -0.937452   -0.935414 0.000889519
         0.6          10   -0.933244   -0.935197 0.000826618
         0.6          11   -0.943448   -0.935947  0.00103739
         0.6          12   -0.927196   -0.935218  0.00117975
         0.6          13   -0.937656   -0.935406   0.0011038
         0.6          14   -0.934064    -0.93531  0.00102911
         0.6          15    -0.93772    -0.93547 0.000972967
         0.6          16   -0.941676   -0.935858 0.000986435
         0.6          17    -0.93128   -0.935589 0.000964472
         0.6          18   -0.934904   -0.935551  0.00091164
         0.6          19   -0.939216   -0.935744 0.000883832
         0.6          20   -0.933032   -0.935608 0.000849977
       0.625           1   -0.926044   -0.926044           0
       0.625           2    -0.92782   -0.926932 0.000627911
       0.625           3   -0.921304   -0.925056  0.00158792
       0.625           4   -0.921384   -0.924138  0.00143191
       0.625           5   -0.924004   -0.924111  0.00114578
       0.625           6   -0.925628   -0.924364 0.000982311
       0.625           7    -0.91548   -0.923095  0.00144553
       0.625           8   -0.923964   -0.923203  0.00126891
       0.625           9   -0.925688    -0.92348  0.00115756
       0.625          10   -0.926132   -0.923745  0.00107176
       0.625          11   -0.920884   -0.923485  0.00100539
       0.625          12   -0.917688   -0.923002  0.00103115
       0.625          13   -0.923604   -0.923048 0.000952868
       0.625          14   -0.925676   -0.923236 0.000903106
       0.625          15   -0.926548   -0.923457 0.000869477
       0.625          16    -0.92724   -0.923693 0.000846679
       0.625          17   -0.918856   -0.923408 0.000843329
       0.625          18   -0.925012   -0.923498 0.000801169
       0.625          19    -0.92672   -0.923667 0.000776746
       0.625          20    -0.92752    -0.92386 0.000761423
        0.65           1   -0.909388   -0.909388           0
        0.65           2   -0.905956   -0.907672   0.0012134
        0.65           3   -0.919124   -0.911489   0.0032201
        0.65           4   -0.911572    -0.91151  0.00241514
        0.65           5    -0.91318   -0.911844  0.00195507
        0.65           6   -0.911284   -0.911751  0.00163145
        0.65           7   -0.913648   -0.912022  0.00142073
        0.65           8   -0.909752   -0.911738  0.00127115
        0.65           9   -0.911024   -0.911659  0.00113238
        0.65          10   -0.915528   -0.912046  0.00108324
        0.65          11   -0.909924   -0.911853  0.00100178
        0.65          12   -0.917516   -0.912325  0.00102345
        0.65          13   -0.915812   -0.912593 0.000979246
        0.65          14   -0.912756   -0.912605 0.000909369
        0.65          15   -0.914908   -0.912758 0.000861613
        0.65          16   -0.913108    -0.91278 0.000808039
        0.65          17   -0.914052   -0.912855 0.000763964
        0.65          18   -0.912564   -0.912839 0.000721693
        0.65          19    -0.91042   -0.912711 0.000694845
        0.65          20   -0.913392   -0.912745 0.000660936
       0.675           1   -0.901884   -0.901884           0
       0.675           2    -0.89956   -0.900722 0.000821658
       0.675           3    -0.90236   -0.901268 0.000706256
       0.675           4   -0.897324   -0.900282  0.00100485
       0.675           5   -0.906028   -0.901431  0.00130489
       0.675           6    -0.90328   -0.901739   0.0011232
       0.675           7   -0.902168   -0.901801 0.000964414
       0.675           8   -0.900296   -0.901612 0.000862005
       0.675           9   -0.901864    -0.90164  0.00076668
       0.675          10   -0.904356   -0.901912 0.000736535
       0.675          11   -0.901284   -0.901855 0.000671787
       0.675          12   -0.902704   -0.901926  0.00061952
       0.675          13    -0.90276    -0.90199 0.000575179
       0.675          14   -0.904604   -0.902177 0.000563589
       0.675          15   -0.905044   -0.902368 0.000557495
       0.675          16   -0.902636   -0.902384 0.000522903
       0.675          17   -0.904232   -0.902493 0.000503311
       0.675          18   -0.898792   -0.902288 0.000515643
       0.675          19   -0.906556   -0.902512  0.00053521
       0.675          20   -0.903028   -0.902538 0.000509071
         0.7           1   -0.892364   -0.892364           0
         0.7           2   -0.889356    -0.89086  0.00106349
         0.7           3   -0.895164   -0.892295  0.00136925
         0.7           4   -0.895896   -0.893195   0.0012894
         0.7           5   -0.888612   -0.892278  0.00131763
         0.7           6   -0.892376   -0.892295  0.00109813
         0.7           7   -0.891112   -0.892126 0.000954161
         0.7           8   -0.890984   -0.891983 0.000845497
         0.7           9   -0.892104   -0.891996  0.00075166
         0.7          10   -0.888448   -0.891642 0.000755623
         0.7          11   -0.889952   -0.891488 0.000702369
         0.7          12   -0.890028   -0.891366 0.000654291
         0.7          13    -0.89238   -0.891444 0.000608589
         0.7          14   -0.891116   -0.891421  0.00056557
         0.7          15   -0.894168   -0.891604 0.000556729
         0.7          16   -0.890316   -0.891524 0.000527721
         0.7          17   -0.891228   -0.891506 0.000496965
         0.7          18    -0.89162   -0.891512 0.000469396
         0.7          19   -0.896536   -0.891777 0.000513787
         0.7          20   -0.892816   -0.891829 0.000490718
       0.725           1   -0.884252   -0.884252           0
       0.725           2   -0.879348     -0.8818  0.00173383
       0.725           3   -0.879108   -0.880903  0.00136853
       0.725           4   -0.876336   -0.879761  0.00142515
       0.725           5   -0.880616   -0.879932  0.00115033
       0.725           6   -0.878944   -0.879767 0.000970323
       0.725           7       -0.88   -0.879801 0.000832274
       0.725           8   -0.880236   -0.879855 0.000730018
       0.725           9   -0.883076   -0.880213 0.000731389
       0.725          10   -0.877712   -0.879963 0.000699702
       0.725          11   -0.879544   -0.879925 0.000637128
       0.725          12   -0.880888   -0.880005 0.000589069
       0.725          13   -0.884724   -0.880368  0.00064599
       0.725          14   -0.883864   -0.880618 0.000646313
       0.725          15   -0.883724   -0.880825 0.000635537
       0.725          16    -0.88248   -0.880928 0.000604177
       0.725          17   -0.881268   -0.880948 0.000568967
       0.725          18   -0.879904    -0.88089 0.000540307
       0.725          19   -0.879188   -0.880801 0.000519245
       0.725          20   -0.879472   -0.880734 0.000497514
        0.75           1   -0.870304   -0.870304           0
        0.75           2    -0.87056   -0.870432 9.05097e-05
        0.75           3   -0.871204   -0.870689 0.000218604
        0.75           4   -0.870596   -0.870666 0.000165194
        0.75           5   -0.871824   -0.870898 0.000245715
        0.75           6    -0.87168   -0.871028  0.00023685
        0.75           7   -0.871536   -0.871101 0.000213843
        0.75           8   -0.869728   -0.870929 0.000246512
        0.75           9    -0.87018   -0.870846 0.000232746
        0.75          10   -0.868676   -0.870629 0.000293683
        0.75          11    -0.86684   -0.870284  0.00042324
        0.75          12    -0.86598   -0.869926 0.000518134
        0.75          13   -0.874348   -0.870266 0.000579283
        0.75          14   -0.868884   -0.870167  0.00054625
        0.75          15   -0.867508    -0.86999 0.000537831
        0.75          16   -0.873664    -0.87022 0.000551063
        0.75          17   -0.868448   -0.870115 0.000528408
        0.75          18   -0.866936   -0.869939 0.000527747
        0.75          19   -0.874584   -0.870183 0.000553715
        0.75          20   -0.869968   -0.870172 0.000526134
       0.775           1   -0.858984   -0.858984           0
       0.775           2   -0.860956    -0.85997 0.000697207
       0.775           3   -0.860724   -0.860221  0.00050809
       0.775           4   -0.859796   -0.860115 0.000392037
       0.775           5   -0.859076   -0.859907 0.000364566
       0.775           6   -0.858344   -0.859647 0.000385826
       0.775           7   -0.859236   -0.859588 0.000335139
       0.775           8   -0.857608   -0.859341 0.000373621
       0.775           9   -0.857956   -0.859187 0.000362396
       0.775          10   -0.859284   -0.859196 0.000326287
       0.775          11   -0.856384   -0.858941 0.000383943
       0.775          12   -0.860092   -0.859037 0.000363737
       0.775          13   -0.858048   -0.858961 0.000343616
       0.775          14   -0.859752   -0.859017 0.000323688
       0.775          15   -0.857656   -0.858926 0.000314571
       0.775          16   -0.858128   -0.858877 0.000298842
       0.775          17     -0.8606   -0.858978 0.000297964
       0.775          18   -0.862288   -0.859162 0.000333363
       0.775          19    -0.86186   -0.859304 0.000344741
       0.775          20     -0.8607   -0.859374 0.000334498
         0.8           1   -0.848244   -0.848244           0
         0.8           2   -0.848256    -0.84825 4.24264e-06
         0.8           3   -0.846656   -0.847719 0.000433841
         0.8           4    -0.84946   -0.848154 0.000498005
         0.8           5   -0.845028   -0.847529 0.000686605
         0.8           6   -0.852036    -0.84828 0.000893101
         0.8           7   -0.849388   -0.848438 0.000779416
         0.8           8   -0.851156   -0.848778 0.000752389
         0.8           9   -0.851852    -0.84912 0.000742279
         0.8          10    -0.84662    -0.84887 0.000708888
         0.8          11   -0.845508   -0.848564 0.000707254
         0.8          12   -0.848132   -0.848528 0.000649232
         0.8          13    -0.84494   -0.848252 0.000655337
         0.8          14   -0.846168   -0.848103 0.000625205
         0.8          15   -0.847752    -0.84808 0.000583962
         0.8          16   -0.848624   -0.848114 0.000548455
         0.8          17   -0.849264   -0.848181  0.00052035
         0.8          18   -0.846984   -0.848115 0.000495675
         0.8          19   -0.847628   -0.848089 0.000470249
         0.8          20   -0.851524   -0.848261 0.000477066
       0.825           1   -0.836468   -0.836468           0
       0.825           2     -0.8363   -0.836384  5.9397e-05
       0.825           3   -0.838808   -0.837192 0.000660917
       0.825           4   -0.835752   -0.836832 0.000585582
       0.825           5   -0.840588   -0.837583 0.000819085
       0.825           6   -0.837148   -0.837511 0.000685775
       0.825           7   -0.838924   -0.837713 0.000616814
       0.825           8   -0.835584   -0.837447 0.000594335
       0.825           9    -0.83718   -0.837417 0.000529035
       0.825          10   -0.836508   -0.837326 0.000483876
       0.825          11   -0.837948   -0.837383 0.000443179
       0.825          12    -0.83836   -0.837464 0.000413665
       0.825          13   -0.837584   -0.837473 0.000381948
       0.825          14    -0.83598   -0.837367 0.000369258
       0.825          15     -0.8379   -0.837402 0.000346349
       0.825          16   -0.839456   -0.837531 0.000347677
       0.825          17   -0.839988   -0.837675 0.000356012
       0.825          18   -0.836276   -0.837597 0.000344614
       0.825          19   -0.841532   -0.837804 0.000383686
       0.825          20   -0.838068   -0.837818 0.000364728
        0.85           1   -0.825952   -0.825952           0
        0.85           2    -0.82486   -0.825406  0.00038608
        0.85           3     -0.8227   -0.824504 0.000780161
        0.85           4   -0.831408    -0.82623   0.0016052
        0.85           5   -0.824188   -0.825822   0.0013351
        0.85           6   -0.823548   -0.825443  0.00116512
